10,KEY,LEVEL 1,LEVEL 2,LEVEL 3,LEVEL 4,PUBLISH,IN_MENU,TYPOLOGIE,LEVEL,DESCRIPTION,EDITO,ID,URL
1811,VO1811,Vie municipale,Élections,Régionales,Régionales 2021 - 2ème tour,1,0,INFO,,,,1914,
1812,VO1812,Vie municipale,Élections,Régionales,Régionales 2021 - 1er tour,1,0,INFO,,,,1910,
1813,VO1813,Vie municipale,Élections,Régionales,Régionales 2015 - 2ème tour,1,0,INFO,,,,1776,
1814,VO1814,Vie municipale,Élections,Régionales,Régionales 2015 - 1er tour,1,0,INFO,,,,1775,
1815,VO1815,Vie municipale,Élections,Régionales,Régionales 2010 - 2ème tour,1,0,INFO,,,,1132,
1816,VO1816,Vie municipale,Élections,Régionales,Régionales 2010 - 1er tour,1,0,INFO,,,,1133,
1820,VO1820,Vie municipale,Élections,Cantonales,,1,0,INFO,,,,,
1821,VO1821,Vie municipale,Élections,Cantonales,Cantonales 2011 - 2ème tour,1,0,INFO,,,,1134,
1822,VO1822,Vie municipale,Élections,Cantonales,Cantonales 2011 - 1er tour,1,0,INFO,,,,1135,
1823,VO1823,Vie municipale,Élections,Cantonales,Cantonales 2008 - 2ème tour,1,0,INFO,,,,1137,
1824,VO1824,Vie municipale,Élections,Cantonales,Cantonales 2008 - 1er tour,1,0,INFO,,,,1136,
1830,VO1830,Vie municipale,Élections,Européennes,,1,0,INFO,,,,,
1831,VO1831,Vie municipale,Élections,Européennes,Européennes 2019,1,0,INFO,,,,1686,
1832,VO1832,Vie municipale,Élections,Européennes,Européennes 2014,1,0,INFO,,,,1184,
1833,VO1833,Vie municipale,Élections,Européennes,Européennes 2009,1,0,INFO,,,,1139,
1840,VO1840,Vie municipale,Élections,Départementales,,1,0,INFO,,,,,
1841,VO1841,Vie municipale,Élections,Départementales,Départementales 2021 - 2ème tour,1,0,INFO,,,,1915,
1842,VO1842,Vie municipale,Élections,Départementales,Départementales 2021 - 1er tour,1,0,INFO,,,,1911,
1843,VO1843,Vie municipale,Élections,Départementales,Départementales 2015 - 2ème tour,1,0,INFO,,,,1217,
1844,VO1844,Vie municipale,Élections,Départementales,Départementales 2015 - 1er tour,1,0,INFO,,,,1234,
1850,VO1850,Vie municipale,Budget de la mairie d’Orléans,,,1,0,INFO,,,,1140,
1860,VO1860,Vie municipale,Publication des actes commune d'Orléans,,,1,0,INFO,,,,2124,
1870,VO1870,Vie municipale,Villes amies,,,1,0,HUB,,,,,
1880,VO1880,Vie municipale,Villes amies,La Nouvelle Orléans (USA),,1,0,INFO,,,,1595,
1890,VO1890,Vie municipale,Villes amies,Yangzhou (Chine),,1,0,INFO,,,,1462,
1900,VO1900,Vie municipale,Villes amies,Dundee (Ecosse),,1,0,INFO,,,,640,
1910,VO1910,Vie municipale,Villes amies,Trévise (Italie),,1,0,INFO,,,,641,
1920,VO1920,Vie municipale,Villes amies,Münster (Allemagne),,1,0,INFO,,,,642,
1930,VO1930,Vie municipale,Villes amies,Kristiansand (Norvège),,1,0,INFO,,,,644,
1940,VO1940,Vie municipale,Villes amies,Wichita (USA),,1,0,INFO,,,,645,
1950,VO1950,Vie municipale,Villes amies,Tarragone (Espagne),,1,0,INFO,,,,646,
1960,VO1960,Vie municipale,Villes amies,Saint-Flour (France),,1,0,INFO,,,,647,
1970,VO1970,Vie municipale,Villes amies,Parakou (Bénin),,1,0,INFO,,,,651,
1980,VO1980,Vie municipale,Villes amies,Utsunomiya (Japon),,1,0,INFO,,,,648,
1990,VO1990,Vie municipale,Villes amies,Lugoj (Roumanie),,1,0,INFO,,,,649,
2000,VO2000,Vie municipale,Villes amies,Cracovie (Pologne),,1,0,INFO,,,,650,
2010,VO2010,Que faire à Orléans ?,Sorties,,,1,0,HUB,,,,,
2020,VO2020,Que faire à Orléans ?,Sorties,Agenda des sorties,,1,0,INFO,,,,,https://sortir.orleans-metropole.fr/
2030,VO2030,Que faire à Orléans ?,Sorties,Fêtes et évènements à ne pas manquer,,1,0,INFO,,,,,
2040,VO2040,Que faire à Orléans ?,Associations,,,1,0,HUB,,,,,
2050,VO2050,Que faire à Orléans ?,Associations,Annuaire des associations,,1,0,INFO,,,,,page_VO530
2060,VO2060,Que faire à Orléans ?,Associations,Catalogue d'activités associatives,,1,0,INFO,,,,,page_VO540
2070,VO2070,Que faire à Orléans ?,Associations,"La maison des associations, rue Sainte Catherine",,1,0,INFO,,,,,page_VO630
2080,VO2080,Que faire à Orléans ?,Associations,La maison des associations la Source,,1,0,INFO,,,,,page_VO640
2090,VO2090,Que faire à Orléans ?,Associations,Espace Olympe de Gouges,,1,0,INFO,,,,,page_VO650
2100,VO2100,Que faire à Orléans ?,Associations,La maison des provinces,,1,0,INFO,,,,,page_VO660
2110,VO2110,Que faire à Orléans ?,Associations,Le 108 rue de Bourgogne,,1,0,INFO,,,,,page_VO670
2120,VO2120,Que faire à Orléans ?,Activités sportives,Annuaire des clubs sportifs,,1,0,INFO,,,,,page_VO1200
2130,VO2130,Que faire à Orléans ?,Activités sportives,Ecole municipale d'initiation sportive,,1,0,INFO,,,,,page_VO1170
2140,VO2140,Que faire à Orléans ?,Activités sportives,Orléans vous coach,,1,0,INFO,,,,,page_VO1180
2145,VO2145,Que faire à Orléans ?,Equipements sportifs,,,1,0,,,,,,
2150,VO2150,Que faire à Orléans ?,Equipements sportifs,L'Argonaute,,1,0,INFO,,,,1580,
2160,VO2160,Que faire à Orléans ?,Equipements sportifs,La patinoire d'Orléans,,1,0,INFO,,,,434,
2170,VO2170,Que faire à Orléans ?,Equipements sportifs,La base de loisirs de l'Ile Charlemagne,,1,0,INFO,,,,441,
2180,VO2180,Que faire à Orléans ?,Equipements sportifs,Le palais des sports,,1,0,INFO,,,,444,
2190,VO2190,Que faire à Orléans ?,Equipements sportifs,Le stade omnisports de La Source,,1,0,INFO,,,,445,
2200,VO2200,Que faire à Orléans ?,Equipements sportifs,Le site des Murlins,,1,0,INFO,,,,446,
2210,VO2210,Que faire à Orléans ?,Equipements sportifs,Le site de la Vallée,,1,0,INFO,,,,447,
2220,VO2220,Que faire à Orléans ?,Equipements sportifs,Le stade de l'Ile Arrault et l'hippodrome,,1,0,INFO,,,,448,
2230,VO2230,Que faire à Orléans ?,Equipements sportifs,Le complexe sportif de La Source,,1,0,INFO,,,,449,
2240,VO2240,Que faire à Orléans ?,Equipements sportifs,Le site des Montées,,1,0,INFO,,,,450,
2250,VO2250,Que faire à Orléans ?,Equipements sportifs,Le site du Belneuf,,1,0,INFO,,,,473,
2260,VO2260,Que faire à Orléans ?,Piscines,,,1,0,,,,,,
2260,VO2260,Que faire à Orléans ?,Piscines,Complexe nautique de la Source,,1,0,INFO,,,,439,
2270,VO2270,Que faire à Orléans ?,Piscines,L'O,,1,0,INFO,,,,1908,
2280,VO2280,Que faire à Orléans ?,Piscines,Bassin Victor Fouillage,,1,0,INFO,,,,440,
2285,VO2285,Que faire à Orléans ?,Activités artistiques,,,1,0,,,,,,
2290,VO2290,Que faire à Orléans ?,Activités artistiques,Le conservatoire,,1,0,INFO,,,,429,
2300,VO2300,Que faire à Orléans ?,Activités artistiques,L'école supérieure d'art et de design (ESAD),,1,0,INFO,,,,428,
2310,VO2310,Que faire à Orléans ?,Activités artistiques,Le centre chorégraphique national d'Orléans,,1,0,INFO,,,,842,
2320,VO2320,Que faire à Orléans ?,Activités artistiques,Les lieux de répétition,,1,0,INFO,,,,432,
